name,url
Shivani Food House,https://swiggy.com/restaurants/shivani-food-house-kotla-mubarakpur-delhi-477069
NAGPAL HAVELI BLD,https://swiggy.com/restaurants/nagpal-haveli-bld-lajpat-nagar-delhi-448620
7th Heaven,https://swiggy.com/restaurants/7th-heaven-mayur-vihar-delhi-418253
The Belgian Waffle Co.,https://swiggy.com/restaurants/the-belgian-waffle-co-laxmi-nagar-delhi-435690
49 Rolls,https://swiggy.com/restaurants/49-rolls-ganesh-nagar-2-extn-shakarpur-mayur-vihar-delhi-390023
Sweet Truth - Cake and Desserts,https://swiggy.com/restaurants/sweet-truth-cake-and-desserts-kotla-mubarak-pur-south-extension-i-delhi-45894
28 Capri Italy,https://swiggy.com/restaurants/28-capri-italy-lajpat-nagar-defence-colony-delhi-6283
Amici Cafe,https://swiggy.com/restaurants/amici-cafe-south-extension-defence-colony-delhi-39492
Love & Cheesecake,https://swiggy.com/restaurants/love-and-cheesecake-south-extension-defence-colony-delhi-496117
Maddi sweet center,https://swiggy.com/restaurants/maddi-sweet-center-hauz-khas-south-extenison-delhi-467279
Urban Vada Pav,https://swiggy.com/restaurants/urban-vada-pav-laxmi-nagar-shakarpur-khas-delhi-322460
LunchBox - Meals and Thalis,https://swiggy.com/restaurants/lunchbox-meals-and-thalis-rajdner-place-rajendra-place-delhi-79321
Qd's,https://swiggy.com/restaurants/qds-karol-bagh-krishna-nagar-karol-bagh-delhi-158180
South Indian Cafe,https://swiggy.com/restaurants/south-indian-cafe-rajinder-nagar-new-rajinder-nagar-delhi-46869
SodaBottleOpenerWala,https://swiggy.com/restaurants/sodabottleopenerwala-khan-market-metro-station-rabindra-nagar-delhi-8419
Punjab Sweet Corner,https://swiggy.com/restaurants/punjab-sweet-corner-karol-bagh-delhi-302447
Standard Burfee,https://swiggy.com/restaurants/standard-burfee-karol-bagh-delhi-83734
Roshan Di Kulfi,https://swiggy.com/restaurants/roshan-di-kulfi-karol-bagh-beadonpura-karol-bagh-delhi-9917
Bikanervala Chandni Chowk,https://swiggy.com/restaurants/bikanervala-chandni-chowk-old-delhi-delhi-395433
Havemore Restaurant ,https://swiggy.com/restaurants/havemore-restaurant-khan-market-india-gate-delhi-8406
Nathu's PastryShop,https://swiggy.com/restaurants/nathus-pastryshop-bengali-market-mandi-house-delhi-40802
Bangla sweet n spice,https://swiggy.com/restaurants/bangla-sweet-n-spice-connaught-place-gole-market-delhi-143021
Maalgaadi by Dhaba Estd 1986 Delhi,https://swiggy.com/restaurants/maalgaadi-by-dhaba-estd-1986-delhi-connaught-place-delhi-305529
Cafe Delhi Heights,https://swiggy.com/restaurants/cafe-delhi-heights-cannaught-place-connaught-place-delhi-66837
Bangla Foods,https://swiggy.com/restaurants/bangla-foods-gole-market-delhi-22917
Nizam's Kathi Kabab,https://swiggy.com/restaurants/nizams-kathi-kabab-connaught-place-delhi-55833
Domino's Pizza,https://swiggy.com/restaurants/dominos-pizza-connaught-circle-connaught-place-delhi-24207
Nando's,https://swiggy.com/restaurants/nandos-opp-rajiv-chowk-metro-station-connaught-place-delhi-17463
Pind Balluchi (CP),https://swiggy.com/restaurants/pind-balluchi-cp-hanuman-road-area-connaught-place-delhi-12716
MBA CHAI WALA,https://swiggy.com/restaurants/mba-chai-wala-lajpat-nagar-delhi-558508
SINDHI PAKODE,https://swiggy.com/restaurants/sindhi-pakode-lajpat-nagar-delhi-405337
Super Snacks( Krishna Nagar),https://swiggy.com/restaurants/super-snacks-krishna-nagar-krishna-nagar-delhi-36901
Bread Boxx,https://swiggy.com/restaurants/bread-boxx-safdarjung-enclave-delhi-243522
High On Burgers,https://swiggy.com/restaurants/high-on-burgers-satyaniketan-moti-bagh-delhi-3945
China Bowl,https://swiggy.com/restaurants/china-bowl-south-campus-moti-bagh-delhi-30703
Kerala To Delhi Food Corner,https://swiggy.com/restaurants/kerala-to-delhi-food-corner-south-extension-delhi-501569
Brown Sugar,https://swiggy.com/restaurants/brown-sugar-south-ex-south-extension-ii-delhi-50801
Vip RDX Resto & Bar,https://swiggy.com/restaurants/vip-rdx-resto-and-bar-hauz-khas-safdarjung-enclave-delhi-231505
Kolkata Kathi Roll,https://swiggy.com/restaurants/kolkata-kathi-roll-nehru-nagar-nehru-nagar-lajpat-nagar-delhi-18706
Oven Story Pizza,https://swiggy.com/restaurants/oven-story-pizza-lajpat-nagar-delhi-20972
PASRICHA'S DOSA JUNCTION,https://swiggy.com/restaurants/pasrichas-dosa-junction-ina-market-ina-colony-delhi-20156
Vir Ji Malai Chaap Wale,https://swiggy.com/restaurants/vir-ji-malai-chaap-wale-greater-kailash-2-lajpat-nagar-delhi-405160
IMLY,https://swiggy.com/restaurants/imly-preet-vihar-delhi-524205
